id;name;total_num_of_jobs;total_num_of_pages
231;A Coruña;598;range(1, 21)
232;Álava;592;range(1, 21)
233;Albacete;585;range(1, 21)
234;Alicante;630;range(1, 22)
235;Almería;582;range(1, 21)
236;Asturias;607;range(1, 22)
237;Ávila;593;range(1, 21)
238;Badajoz;580;range(1, 21)
239;Baleares;586;range(1, 21)
240;Barcelona;1184;range(1, 41)
241;Bizkaia;667;range(1, 24)
242;Burgos;580;range(1, 21)
243;Cáceres;582;range(1, 21)
244;Cádiz;584;range(1, 21)
245;Cantabria;593;range(1, 21)
246;Castellón;598;range(1, 21)
247;Ceuta;579;range(1, 21)
248;Ciudad Real;586;range(1, 21)
249;Córdoba;587;range(1, 21)
250;Cuenca;583;range(1, 21)
251;Gipuzkoa;612;range(1, 22)
252;Girona;598;range(1, 21)
253;Granada;585;range(1, 21)
254;Guadalajara;606;range(1, 22)
255;Huelva;585;range(1, 21)
256;Huesca;582;range(1, 21)
257;Jaén;582;range(1, 21)
258;La Rioja;583;range(1, 21)
259;Las Palmas de Gran Canaria;589;range(1, 21)
260;León;583;range(1, 21)
261;Lugo;581;range(1, 21)
262;Lleida;588;range(1, 21)
263;Madrid;1487;range(1, 51)
264;Málaga;620;range(1, 22)
265;Melilla;579;range(1, 21)
266;Murcia;606;range(1, 22)
267;Navarra;600;range(1, 21)
268;Ourense;582;range(1, 21)
269;Palencia;582;range(1, 21)
270;Pontevedra;598;range(1, 21)
271;Salamanca;589;range(1, 21)
272;Sta. Cruz de Tenerife;589;range(1, 21)
273;Segovia;594;range(1, 21)
274;Sevilla;658;range(1, 23)
275;Soria;578;range(1, 21)
276;Tarragona;596;range(1, 21)
277;Teruel;581;range(1, 21)
278;Toledo;611;range(1, 22)
279;Valencia;747;range(1, 26)
280;Valladolid;617;range(1, 22)
281;Zamora;580;range(1, 21)
282;Zaragoza;630;range(1, 22)
